"V1","V2"
"1","3"
"1","4"
"1","8"
"1","9"
"1","13"
"1","14"
"1","17"
"1","18"
"1","22"
"1","23"
"1","25"
"1","26"
"1","27"
"1","28"
"1","29"
"1","31"
"1","33"
"1","34"
"1","35"
"1","36"
"1","39"
"1","43"
"1","44"
"1","45"
"1","46"
"1","47"
"1","52"
"1","53"
"1","57"
"1","60"
"1","61"
"1","64"
"1","66"
"1","67"
"1","69"
"1","70"
"1","75"
"1","77"
"1","78"
"1","79"
"1","81"
"1","84"
"1","85"
"1","86"
"1","88"
"1","89"
"1","92"
"1","93"
"1","94"
"1","97"
"1","99"
"1","100"
"1","101"
"1","102"
"1","104"
"1","106"
"1","107"
"1","108"
"1","109"
"1","113"
"1","115"
"1","119"
"1","121"
"1","126"
"1","128"
"1","129"
"1","135"
"1","138"
"1","139"
"1","140"
"2","6"
"2","15"
"2","19"
"2","49"
"2","59"
"2","116"
"2","117"
"2","123"
"3","4"
"3","8"
"3","9"
"3","13"
"3","14"
"3","17"
"3","18"
"3","22"
"3","23"
"3","25"
"3","26"
"3","27"
"3","28"
"3","29"
"3","31"
"3","33"
"3","34"
"3","35"
"3","36"
"3","39"
"3","43"
"3","44"
"3","45"
"3","46"
"3","47"
"3","52"
"3","53"
"3","57"
"3","60"
"3","61"
"3","64"
"3","66"
"3","67"
"3","69"
"3","70"
"3","75"
"3","77"
"3","78"
"3","79"
"3","81"
"3","84"
"3","85"
"3","86"
"3","88"
"3","89"
"3","92"
"3","93"
"3","94"
"3","97"
"3","99"
"3","100"
"3","101"
"3","102"
"3","104"
"3","106"
"3","107"
"3","108"
"3","109"
"3","113"
"3","115"
"3","119"
"3","121"
"3","126"
"3","128"
"3","129"
"3","135"
"3","138"
"3","139"
"3","140"
"4","8"
"4","9"
"4","13"
"4","14"
"4","17"
"4","18"
"4","22"
"4","23"
"4","25"
"4","26"
"4","27"
"4","28"
"4","29"
"4","31"
"4","33"
"4","34"
"4","35"
"4","36"
"4","39"
"4","43"
"4","44"
"4","45"
"4","46"
"4","47"
"4","52"
"4","53"
"4","57"
"4","60"
"4","61"
"4","64"
"4","66"
"4","67"
"4","69"
"4","70"
"4","75"
"4","77"
"4","78"
"4","79"
"4","81"
"4","84"
"4","85"
"4","86"
"4","88"
"4","89"
"4","92"
"4","93"
"4","94"
"4","97"
"4","99"
"4","100"
"4","101"
"4","102"
"4","104"
"4","106"
"4","107"
"4","108"
"4","109"
"4","113"
"4","115"
"4","119"
"4","121"
"4","126"
"4","128"
"4","129"
"4","135"
"4","138"
"4","139"
"4","140"
"5","24"
"5","51"
"5","68"
"5","96"
"5","98"
"5","132"
"6","15"
"6","19"
"6","49"
"6","59"
"6","116"
"6","117"
"6","123"
"7","30"
"7","54"
"7","112"
"7","118"
"7","124"
"7","130"
"8","9"
"8","13"
"8","14"
"8","17"
"8","18"
"8","22"
"8","23"
"8","25"
"8","26"
"8","27"
"8","28"
"8","29"
"8","31"
"8","33"
"8","34"
"8","35"
"8","36"
"8","39"
"8","43"
"8","44"
"8","45"
"8","46"
"8","47"
"8","52"
"8","53"
"8","57"
"8","60"
"8","61"
"8","64"
"8","66"
"8","67"
"8","69"
"8","70"
"8","75"
"8","77"
"8","78"
"8","79"
"8","81"
"8","84"
"8","85"
"8","86"
"8","88"
"8","89"
"8","92"
"8","93"
"8","94"
"8","97"
"8","99"
"8","100"
"8","101"
"8","102"
"8","104"
"8","106"
"8","107"
"8","108"
"8","109"
"8","113"
"8","115"
"8","119"
"8","121"
"8","126"
"8","128"
"8","129"
"8","135"
"8","138"
"8","139"
"8","140"
"9","13"
"9","14"
"9","17"
"9","18"
"9","22"
"9","23"
"9","25"
"9","26"
"9","27"
"9","28"
"9","29"
"9","31"
"9","33"
"9","34"
"9","35"
"9","36"
"9","39"
"9","43"
"9","44"
"9","45"
"9","46"
"9","47"
"9","52"
"9","53"
"9","57"
"9","60"
"9","61"
"9","64"
"9","66"
"9","67"
"9","69"
"9","70"
"9","75"
"9","77"
"9","78"
"9","79"
"9","81"
"9","84"
"9","85"
"9","86"
"9","88"
"9","89"
"9","92"
"9","93"
"9","94"
"9","97"
"9","99"
"9","100"
"9","101"
"9","102"
"9","104"
"9","106"
"9","107"
"9","108"
"9","109"
"9","115"
"9","119"
"9","121"
"9","126"
"9","128"
"9","129"
"9","135"
"9","138"
"9","139"
"10","32"
"10","62"
"10","73"
"10","82"
"10","131"
"10","136"
"11","20"
"11","21"
"11","40"
"11","65"
"11","87"
"12","37"
"12","41"
"12","95"
"12","105"
"12","114"
"12","133"
"15","19"
"15","49"
"15","59"
"15","116"
"15","117"
"15","123"
"16","48"
"16","56"
"16","71"
"16","103"
"16","111"
"16","120"
"19","49"
"19","59"
"19","116"
"19","117"
"19","123"
"20","21"
"20","40"
"20","50"
"20","58"
"20","65"
"20","87"
"21","40"
"21","50"
"21","58"
"21","65"
"21","87"
"24","68"
"24","96"
"24","98"
"24","132"
"24","134"
"24","137"
"30","54"
"30","112"
"30","118"
"30","124"
"30","130"
"32","62"
"32","72"
"32","73"
"32","74"
"32","82"
"32","122"
"32","131"
"32","136"
"37","41"
"37","95"
"37","105"
"37","114"
"37","133"
"38","42"
"38","55"
"38","63"
"38","76"
"38","83"
"38","110"
"38","125"
"40","50"
"40","58"
"40","65"
"40","87"
"41","95"
"41","105"
"41","114"
"41","133"
"42","55"
"42","63"
"42","76"
"42","83"
"42","110"
"42","125"
"48","56"
"48","71"
"48","103"
"48","111"
"48","120"
"49","116"
"50","58"
"50","65"
"51","103"
"51","105"
"51","120"
"51","133"
"54","112"
"54","118"
"54","124"
"54","130"
"55","63"
"55","76"
"55","80"
"55","90"
"55","91"
"55","125"
"55","127"
"56","71"
"56","103"
"56","111"
"56","120"
"58","65"
"59","116"
"59","117"
"59","123"
"62","72"
"62","73"
"62","82"
"62","122"
"62","131"
"63","76"
"63","80"
"63","90"
"63","91"
"63","125"
"65","87"
"68","96"
"68","98"
"68","132"
"68","134"
"68","137"
"71","103"
