"representacion","n_entrenamiento","AUC_ROC","AUC_ROC_de","AUC_PR","AUC_PR_de"
"Metadata",100,0.599899598393574,0.0275108375136175,0.213054619386815,0.0191960832811764
"Metadata",200,0.651664629532623,0.00520048145501921,0.272934780300473,0.00247961274294809
"Metadata",300,0.699962895058495,0.0120701918835301,0.297709851423188,0.0466091334205619
"Metadata",400,0.692487340667016,0.0129322877635575,0.334513695103759,0.0371665233951422
"Metadata",508,0.717391304347826,0.0109296410390107,0.338343645206561,0.0225558546774244
"Transcript",100,0.630740352715209,0.0325019362217034,0.284949585442721,0.0338590960776068
"Transcript",200,0.646619085035795,0.0343850703068283,0.258635344936424,0.00706204295189462
"Transcript",300,0.730650864326873,0.0291756818472034,0.371209457901118,0.0222354082748176
"Transcript",400,0.72656204528258,0.0327292893153893,0.380308881339659,0.0404635031681766
"Transcript",508,0.739006751644258,0.0162022530438048,0.395515747281417,0.014212696407695
"Metadata+Transcript",100,0.660824457249287,0.0188454603578101,0.282325619192677,0.0116926227923091
"Metadata+Transcript",200,0.685582911355567,0.0171234524172556,0.316703304547421,0.025014401305844
"Metadata+Transcript",300,0.748392119201443,0.0157260999961038,0.386374586666667,0.0479162322964618
"Metadata+Transcript",400,0.7412694255282,0.0270472700440063,0.419158582158994,0.0453746129471755
"Metadata+Transcript",508,0.761218788196263,0.0173126020488539,0.427091243953242,0.0273610663240595
