"proxy","shap_medio_abs"
"D3",0.440435786394578
"D1",0.267195511557067
"D6",0.259616486986322
"D4",0.192680460395013
"H6",0.153113838727403
"T10",0.130718946596241
"T12",0.126860917209992
"D5",0.0851246859878302
"H1",0.0829212682116337
"H7",0.0783353805765656
"H8",0.0605023265119613
"T11",0.0582573702170213
"T13",0.0577311389676229
"T14",0.0433689057672998
"D7",0.0337777173731317
"T9",0.0335579232378738
"H2",0.0282611579436251
"H5",0.0262865542764152
"T15",0.024934959196184
"D8",0.0240207650838053
"G16",0.0177990361555905
"H4",0.0102998413578204
"H3",0.00412956339024799
"D2",0.000833750949376428
