"id","videoId","titulo","canal","clase","vistas","grado","betweenness","closeness","comunidad"
"1","-EEKKy2cuL4","estoicismo sobre SALUD MENTAL #filosofíaestoica #citas #estoicismo","Otro","Informal",1546,70,435.7,0.0144062714058042,1
"2","-PVPan5EogA","La importancia del sueño reparador en la salud mental","Otro","Informal",1362,8,0,0.144461287048014,2
"3","-VXJ6q-dzXA","Hablemos de salud mental","Otro","Informal",13029,70,435.7,0.0144062714058042,1
"4","-XF2inBEAgc","SALUD MENTAL Z | Cero Miligramos con Santi Talledo","Otro","Informal",255307,70,435.7,0.0144062714058042,1
"5","-dNcx5titTE","Tu salud mental importa, no estás solo.#Ansiedad #SaludMental #NoEstasSolo #Bienestar #Cuidate","Otro","Informal",1206,6,105,0.0289090562163957,3
"6","-kHw8PdKT9w","Módulo 2 - Reconociendo la importancia de la salud mental","Otro","Informal",28,8,0,0.144461287048014,2
"7","-qgq6jbqjX8","Alimentos Para Mejorar Tu SALUD Mental 🧠 #salud #vidasaludable #nutricion #alimentacion #consejos","Otro","Informal",52984,6,0.2,0.166666666666667,4
"8","-wjD4eEbs80","Ángel Martín e Inés Martín Rodrigo, por la salud mental","Otro","Informal",3825,70,435.7,0.0144062714058042,1
"9","0A-lEiRuvIc","Ibero Puebla: Urge reforzar salud mental en universidades","Otro","Informal",845,68,403.2,0.0140028147075596,1
"10","0DkFDOIisOw","Salud emocional y las cinco heridas - Satori en Vos (Marietta Rodríguez)","Otro","Informal",625,6,2,0.0861185370628682,5
"11","0cAxYMEf72g","Medicación para Salud Mental❌ (ALTERNATIVA EXPLICADA✅🧠🔋) #trauma #psicologia #salud #saludmental","Otro","Informal",247730,5,0,0.111851914206861,6
"12","0i5RvZCIk20","la ansiedad del domingo por la tarde","Otro","Informal",848,6,0.25,0.0199290965051105,7
"13","23PfkiG3mdQ","Descansar es esencial para una buena salud mental","Otro","Informal",135,5,0,0.00743968940112099,1
"14","2Y7W09TG5SY","Cuba bajo apagones,el nuevo reto para la salud mental","Otro","Informal",107943,5,0,0.00743968940112099,1
"15","2dEf0tx8TqQ","La salud mental de los universitarios | Sana Mente","Otro","Informal",7699,8,0,0.144461287048014,2
"16","2eQGcYotnp0","V. Completa. Una mirada a la salud mental de los jóvenes. Montserrat Dolz, psiquiatra","Otro","Informal",285178,6,0,0.0198610464714956,7
"17","3TMlPQG_Gfs","Un cerebro bien ordenado para una buena salud mental. Por Nazareth Castellanos, neurocientífica","Otro","Informal",608813,5,0,0.00743968940112099,1
"18","3gSUV-TqMIA","Día 1, parte 2 | Encuentro Nacional de Salud Mental, Por la Paz y Contra las Adicciones.","Otro","Informal",38,5,0,0.00743968940112099,1
"19","3p-5Qe0rDzk","La importancia de la salud mental","Otro","Informal",117264,8,3.5,0.144709351814699,2
"20","47e9F-LFh40","5 Datos de Salud Mental que Parecen Falsos pero Son Reales🧠 #saludmental #psicologia #datos","Otro","Informal",1150,7,1.16666666666667,0.14334833669579,6
"21","4QW5vqQLugc","AFUERA 🕳️ Evadir la realidad. #malcriada #dreamcore #weirdcore #saludmental","Otro","Informal",24750,7,0.5,0.143595202477912,6
"22","4YpWorY1UgI","La salud mental.","Otro","Informal",1123,5,0,0.00743968940112099,1
"23","5ENQ6HN29X0","Raquel Gabriel | Visibilizar problemas de salud mental | Aprender de Grandes #187","Otro","Informal",11126,5,0,0.00743968940112099,1
"24","5jqWuEPe47E","Salud Mental para todos - 16 - El autocuidado personal","Otro","Informal",43860,7,17,0.0219675916687631,3
"25","6AlWR4tLH_E","¿Cuál es la situación de la salud mental en Ecuador? | La Ventana","Otro","Informal",407,5,0,0.00743968940112099,1
"26","6agah0G0ujY","Enfermería de Salud Mental en centros especializados","Otro","Informal",69379,5,0,0.00743968940112099,1
"27","8bC1nH0BYEM","SALUD MENTAL DE LOS ADOLESCENTES","Otro","Informal",2029,5,0,0.00743968940112099,1
"28","9MSp3mzLE3M","Salud mental en adolescentes: la realidad chilena | Documentales Mindy","Otro","Informal",31395,5,0,0.00743968940112099,1
"29","ACsFbMgIDnM","Redes Sociales, Populismo y Salud Mental con Macario Schettino - Episodio 30 de Mente al Cuadrado","Podcast","Informal",45491,5,0,0.00743968940112099,1
"30","BrVaOiWfJxg","La SALUD MENTAL de los MEDICOS no importa a la EMPRESA #ocurrenciasdrreyner","Otro","Informal",722,6,0.2,0.166666666666667,4
"31","Bsr8yqvasAQ","¿Qué es la salud mental?","Otro","Informal",7719,5,0,0.00743968940112099,1
"32","CtlIx5_VB2o","97% de satisfacción: cómo un centro de salud mental está cambiando vidas","Otro","Informal",209,9,1.33333333333333,0.11527772402473,5
"33","DGJ9Zo0BAYY","43 Aniversario de la Unidad Integral de Salud Mental y Adicciones &quot;UNISAMA CUAUHTÉMOC&quot;.","Otro","Informal",18,5,0,0.00743968940112099,1
"34","DKp_JJ9oP5s","¿Por qué vapear es perjudicial para mi salud mental?","Otro","Informal",97882,5,0,0.00743968940112099,1
"35","E6YP6_mB5Fc","Salud mental","Otro","Informal",19901,5,0,0.00743968940112099,1
"36","G5qf3TbovsU","PREOCUPACIÓN en el RÉGIMEN por SALUD MENTAL del DICTADOR","Otro","Informal",294634,5,0,0.00743968940112099,1
