YouTube: 635 videos (83 desinformación) | BitChute: 100 (36)
Modelo: llama3.1:8b | 8.0B parámetros | cuantización Q4_K_M | digest 46e0c10c039e

Ejecutando YouTube | Metadata+Transcript 
  Youtube | Metadata+Transcript: 35/635 | 41.4 s por video | faltan ~414 min
  Youtube | Metadata+Transcript: 45/635 | 36.2 s por video | faltan ~356 min
  Youtube | Metadata+Transcript: 55/635 | 33.7 s por video | faltan ~326 min
  Youtube | Metadata+Transcript: 65/635 | 32.1 s por video | faltan ~305 min
  Youtube | Metadata+Transcript: 75/635 | 31.6 s por video | faltan ~295 min
  Youtube | Metadata+Transcript: 85/635 | 32.5 s por video | faltan ~297 min
  Youtube | Metadata+Transcript: 95/635 | 33.1 s por video | faltan ~298 min
  Youtube | Metadata+Transcript: 105/635 | 34.1 s por video | faltan ~302 min
  Youtube | Metadata+Transcript: 115/635 | 34.7 s por video | faltan ~300 min
  Youtube | Metadata+Transcript: 125/635 | 34.4 s por video | faltan ~293 min
  Youtube | Metadata+Transcript: 135/635 | 35.3 s por video | faltan ~294 min
  Youtube | Metadata+Transcript: 145/635 | 34.3 s por video | faltan ~280 min
  Youtube | Metadata+Transcript: 155/635 | 34.0 s por video | faltan ~272 min
  Youtube | Metadata+Transcript: 165/635 | 34.1 s por video | faltan ~267 min
  Youtube | Metadata+Transcript: 175/635 | 33.6 s por video | faltan ~258 min
  Youtube | Metadata+Transcript: 185/635 | 80.6 s por video | faltan ~605 min
  Youtube | Metadata+Transcript: 195/635 | 77.1 s por video | faltan ~565 min
  Youtube | Metadata+Transcript: 205/635 | 74.3 s por video | faltan ~533 min
  Youtube | Metadata+Transcript: 215/635 | 73.0 s por video | faltan ~511 min
  Youtube | Metadata+Transcript: 225/635 | 71.6 s por video | faltan ~489 min
  Youtube | Metadata+Transcript: 235/635 | 70.6 s por video | faltan ~471 min
  Youtube | Metadata+Transcript: 245/635 | 68.6 s por video | faltan ~446 min
  Youtube | Metadata+Transcript: 255/635 | 66.9 s por video | faltan ~424 min
  Youtube | Metadata+Transcript: 265/635 | 65.7 s por video | faltan ~405 min
  Youtube | Metadata+Transcript: 275/635 | 63.9 s por video | faltan ~383 min
  Youtube | Metadata+Transcript: 285/635 | 62.7 s por video | faltan ~366 min
  Youtube | Metadata+Transcript: 295/635 | 61.5 s por video | faltan ~349 min
  Youtube | Metadata+Transcript: 305/635 | 60.1 s por video | faltan ~330 min
  Youtube | Metadata+Transcript: 315/635 | 58.9 s por video | faltan ~314 min
  Youtube | Metadata+Transcript: 325/635 | 57.8 s por video | faltan ~299 min
  Youtube | Metadata+Transcript: 335/635 | 56.8 s por video | faltan ~284 min
  Youtube | Metadata+Transcript: 345/635 | 55.8 s por video | faltan ~270 min
  Youtube | Metadata+Transcript: 355/635 | 55.0 s por video | faltan ~257 min
  Youtube | Metadata+Transcript: 365/635 | 54.1 s por video | faltan ~244 min
  Youtube | Metadata+Transcript: 375/635 | 53.3 s por video | faltan ~231 min
  Youtube | Metadata+Transcript: 385/635 | 52.7 s por video | faltan ~220 min
  Youtube | Metadata+Transcript: 395/635 | 52.0 s por video | faltan ~208 min
  Youtube | Metadata+Transcript: 405/635 | 51.2 s por video | faltan ~196 min
  Youtube | Metadata+Transcript: 415/635 | 50.4 s por video | faltan ~185 min
  Youtube | Metadata+Transcript: 425/635 | 50.0 s por video | faltan ~175 min
  Youtube | Metadata+Transcript: 435/635 | 54.4 s por video | faltan ~181 min
  Youtube | Metadata+Transcript: 445/635 | 53.8 s por video | faltan ~170 min
  Youtube | Metadata+Transcript: 455/635 | 53.2 s por video | faltan ~160 min
  Youtube | Metadata+Transcript: 465/635 | 52.9 s por video | faltan ~150 min
  Youtube | Metadata+Transcript: 475/635 | 61.5 s por video | faltan ~164 min
  Youtube | Metadata+Transcript: 485/635 | 60.8 s por video | faltan ~152 min
  Youtube | Metadata+Transcript: 495/635 | 60.0 s por video | faltan ~140 min
  Youtube | Metadata+Transcript: 505/635 | 59.3 s por video | faltan ~128 min
  Youtube | Metadata+Transcript: 515/635 | 59.8 s por video | faltan ~120 min
  Youtube | Metadata+Transcript: 525/635 | 67.9 s por video | faltan ~124 min
